"Invocação do Mal 3: A Ordem do Demônio",3,2021-05-25
"A Fantástica Fábrica de Chocolate",3,2005-07-13
"O Show de Truman: O Show da Vida",4,1998-06-04
"Goyo",3,2024-06-27
"鬼滅の刃 兄妹の絆",3,2019-03-29
"Babes",2,2024-05-17
"Alien³",3,1992-05-22
"Caçada Fantasma",3,2023-08-25
"Jujutsu Kaisen 0: O Filme",4,2021-12-24
"Biônicos",2,2024-05-28
"O Protetor: Capítulo Final",3,2023-08-30
"New Life",3,2024-05-03
"Transformers: A Era da Extinção",2,2014-06-25
"Thor: Amor e Trovão",3,2022-07-06
"Apocalypto",3,2006-12-07
"O Abutre",3,2014-10-23
"Blade Runner 2049",3,2017-10-04
"Ted 2",3,2015-06-25
"Logan",3,2017-02-28
"Ratatouille",3,2007-06-21
"A Era do Gelo",3,2002-03-10
"Shrek Para Sempre: O Capítulo Final",3,2010-05-16
"Baki Hanma x Kengan Ashura",3,2024-06-05
"xXx: Reativado",3,2017-01-13
"Pantera Negra: Wakanda para Sempre",3,2022-11-09
"Homem-Aranha: Longe de Casa",3,2019-06-28
"Pretty Guardian Sailor Moon Cosmos: O Filme – Parte 2",3,2023-06-30
"Alien³",3,1992-05-22
"Ratatouille",3,2007-06-21
"Zootopia: Essa Cidade é o Bicho",3,2016-02-11
"Parasita",4,2019-05-30
"Rebel Moon - Parte 1: A Menina do Fogo",3,2023-12-15
"Prometheus",3,2012-05-30
"Your Name.",4,2016-08-26
"Se Beber, Não Case!",3,2009-06-02
"Liga da Justiça de Zack Snyder",4,2021-03-18
"O Encontro de Carl",3,2023-06-15
"O Conde de Monte Cristo",4,2024-06-28
"O Hobbit: Uma Jornada Inesperada",3,2012-12-12
"007 Operação Skyfall",3,2012-10-24
"Pobres Criaturas",3,2023-12-07
"Homem-Aranha: No Aranhaverso",4,2018-12-06
"Assassinos da Lua das Flores",3,2023-10-18
"O Fabricante de Lágrimas",3,2024-04-03
"Noryang: Deadly Sea",3,2023-12-20
"Rascal Does Not Dream of a Knapsack Kid",3,2023-12-01
"Pantera Negra",3,2018-02-13
"Acima das Linhas Inimigas",2,2022-05-13
"名探偵コナン 黒鉄の魚影（サブマリン）",3,2023-04-14
"O Amor Sangra",3,2024-03-08
"A Caça",3,2024-01-18
"Jogador N° 1",3,2018-03-28
"Jurassic World: O Mundo dos Dinossauros",3,2015-06-06
"Exhuma",3,2024-02-22
"O Protetor",3,2014-09-24
"TOGEFILM - Mei Mei",1,2023-04-06
"Cinquenta Tons de Liberdade",3,2018-01-17
"Blade Runner 2049",3,2017-10-04
"Besouro Azul",3,2023-08-16
"Castigos da Traição",3,2023-08-24
"Pânico na Floresta 2",3,2007-08-25
"A Origem",4,2010-07-15
"As Branquelas",3,2004-06-23
"Luck",3,2022-08-05
"Planeta dos Macacos: O Confronto",3,2014-07-08
"O Bordel de Paprika",3,1991-02-13
"Meteoro: A Fuga",2,2021-09-01
"O Hobbit: Uma Jornada Inesperada",3,2012-12-12
"Resident Evil: Bem-Vindo a Raccoon City",2,2021-11-24
"Madagascar",3,2005-05-25
"Zootopia: Essa Cidade é o Bicho",3,2016-02-11
"Invasão Zumbi",3,2016-07-20
"Thor: Ragnarok",3,2017-10-02
"金瓶風月",2,1991-05-09
"Jogador N° 1",3,2018-03-28
"Code 8: Renegados - Parte II",3,2024-02-27
"Capitão América: Guerra Civil",3,2016-04-27
"Infiltrado",3,2021-04-22
"Scarface",4,1983-12-09
"Gente Grande 2",3,2013-07-11
"Remanescentes: Esquecidos por Deus",3,2014-08-25
"Clube dos Vândalos",3,2024-06-19
"Thor: O Mundo Sombrio",3,2013-10-30
"Skal: Fight for Survival",2,2023-11-24
"Dungeons & Dragons: Honra Entre Rebeldes",3,2023-03-23
"Sting: Aranha Assassina",3,2024-04-12
"Mavka: Aventura na Floresta",3,2023-03-02
"Amor de Aluguel",3,2003-12-12
"Meninas Malvadas",2,2024-01-10
"A Queda",3,2022-08-11
"Gente Grande",3,2010-06-24
"O Espetacular Homem-Aranha",3,2012-06-23
"John Wick 3: Parabellum",3,2019-05-15
"Alice no País das Maravilhas",3,2010-03-03
"Rascal Does Not Dream of a Knapsack Kid",3,2023-12-01
"Los de la culpa",3,2024-03-21
